jogadores,grupo
McClanahan #22,1
Ruivo #4,3
Humberto #19,1
Gemadinha #35,1
Simms #1,1
Jonatan #50,3
Antonio #11,1
Thomas #0,1
Georginho #14,1
Lucas Dias #9,1
Pedro #9,3
Pedro #9,3
Alex #10,3
Sheard #3,3
Miller #33,3
Rashaun #17,3
Munford #14,1
Elinho #5,3
Figueredo #91,3
David Jackson #32,1
Johnson Sr #22,1
Gemerson #6,3
Fuzaro #9,1
Scheuer #14,2
Enzo #30,3
Lessa #32,3
Roque #77,1
Dos Santos #0,2
Cuello #44,3
Bennett #3,1
Mãozinha #45,2
Gui Abreu #33,1
Ruan #8,2
Gaskins #2,3
Von Haydin #30,3
Alexey #4,1
Renan #44,3
Renato #15,2
Aguerre #27,1
Augusto #5,3
Williams #1,4
Vithinho #0,3
Tyrone #0,3
Materan #10,3
Harris #23,1
Davi #5,3
Cassiano #7,3
Lucas Mariano #28,1
Arthur #36,4
Jimmy #18,0
Maique #35,2
Machuca #8,3
Fischer #5,3
Gadson #23,3
André Goes #40,3
Da Silva #7,2
Buffat #9,3
Paulo #7,4
Novaes #13,4
Dawkins #14,3
Wesley #21,2
Holloway #1,2
Piñero #33,0
Eddy #33,0
Martinez #34,0
Campos #2,3
Deryk #3,4
G. Basílio #10,4
Ronald #6,2
Marquinhos #11,4
Victão #10,4
Vezaro #10,0
Mathias #12,2
Matheusinho #2,1
Gabriel Jaú #9,2
Scala #6,0
Magna #20,4
Veríssimo #11,4
D. Nunes #24,4
Isaac #7,0
L. Lacerda #10,3
Rodrigues #16,2
Mogi #4,4
Crescenzi #2,0
Dikembe #20,2
Fabricio #10,0
Leal #2,2
Elder #3,4
Silva #14,4
Adyel #4,1
Cauê Borges #4,4
Barnes #34,0
Jhonatan #7,0
Pierotti #4,4
Vildoza #11,3
Mineiro #12,4
Anderson #32,0
Rafa #16,4
Deodato #1,0
Tiago #13,0
Amardi #7,4
Paulichi #13,0
Hamilton #6,4
Gerson #1,4
Corvalán #7,4
Paranhos #24,2
Pecos #14,4
Hubner #77,4
Brite #3,0
Hettsheimeir #30,4
Morillo #0,4
Michel #24,0
Faggiano #3,4
Diego #24,4
Zach Graham #32,4
Doria #7,4
Siewert #23,0
Arthur #4,4
Aguirre #7,0
Larry #4,0
Jefferson #10,4
Lupa #18,4
Teichmann #11,4
Martinez #25,0
Cauê #8,0
Smith #0,4
Betinho #26,4
Coelho #10,4
Ansaloni #22,4
Sena #21,4
