ano,mes,ndvi_medio
2013,1,
2013,2,
2013,3,
2013,4,0.2597636150686129
2013,5,0.24384430381171113
2013,6,0.20789956286645275
2013,7,0.19565786978407126
2013,8,0.17416809416125142
2013,9,0.17016116884695948
2013,10,0.23858791826121742
2013,11,0.2681820591058505
2013,12,0.2985505840035956
2014,1,0.28500331219745173
2014,2,0.295285691902017
2014,3,0.26603378525737464
2014,4,
2014,5,0.24916961186661243
2014,6,
2014,7,0.20633453862920167
2014,8,0.18728821709951785
2014,9,0.19323164222934922
2014,10,0.2244142202671869
2014,11,0.24494869919202622
2014,12,0.28222066658094247
2015,1,0.2804157742131973
2015,2,0.29286859369935714
2015,3,0.27124856966572136
2015,4,0.2616087438184718
2015,5,0.26269680666854933
2015,6,0.2345075409206772
2015,7,
2015,8,0.17528338743466942
2015,9,0.18339675229213417
2015,10,0.2597201210722
2015,11,0.254538075685885
2015,12,0.2715171349161844
2016,1,
2016,2,0.2824601864596967
2016,3,0.29068224511560803
2016,4,0.2695897836707106
2016,5,0.25303152572538196
2016,6,0.20094678599372612
2016,7,0.1828607833094081
2016,8,0.16626091373790136
2016,9,0.19338350298937657
2016,10,
2016,11,
2016,12,
2017,1,
2017,2,0.300363348319966
2017,3,0.2653684922867029
2017,4,0.267208299781975
2017,5,0.24544262772249173
2017,6,0.21484315696000683
2017,7,0.18449823545975813
2017,8,0.16420696692852946
2017,9,0.18495603315931242
2017,10,0.2052372702508293
2017,11,0.2600550092972222
2017,12,0.29052864286877134
2018,1,0.35604494719819485
2018,2,0.29708468764306806
2018,3,0.2898969824239371
2018,4,0.26101339368483195
2018,5,0.23838515316685827
2018,6,0.21464982133662142
2018,7,0.18132334675122588
2018,8,0.15895079155872896
2018,9,
2018,10,0.23220109672657663
2018,11,0.2884560921986272
2018,12,0.27869550633240336
2019,1,0.2858398570187129
2019,2,0.2780987369029262
2019,3,0.23826648014129828
2019,4,
2019,5,
2019,6,0.21606156126307427
2019,7,0.19500244637415548
2019,8,0.1690686068647642
2019,9,0.16808281693017135
2019,10,0.20439633630427648
2019,11,0.25851270388228975
2019,12,0.2786147713777727
2020,1,0.29201071818970437
2020,2,0.30880624133706697
2020,3,0.2689014738666834
2020,4,0.26220140031335415
2020,5,0.2442576026869878
2020,6,0.22216791760933885
2020,7,0.18729586087725855
2020,8,0.16843036389425942
2020,9,0.15227838396017435
2020,10,0.16879737781022197
2020,11,0.23764093274165193
2020,12,0.25820481101846576
2021,1,0.2600194914171928
2021,2,0.33095419146617255
2021,3,0.28484329979814854
2021,4,0.2579553067608857
2021,5,0.21728642582354882
2021,6,0.18879274522749936
2021,7,0.16290510828684154
2021,8,0.14519941825497762
2021,9,0.1472425419485511
2021,10,0.193698868049484
2021,11,0.2680153483917024
2021,12,
2022,1,
2022,2,0.29314855362066206
2022,3,0.2863773025050944
2022,4,0.2641211701883015
2022,5,0.23131647508391112
2022,6,0.20218061639909987
2022,7,0.18727481400971188
2022,8,0.17498150674237828
2022,9,0.17660068450343852
2022,10,
2022,11,
2022,12,0.3398858455012577
2023,1,0.2927023319255219
2023,2,0.2810159064587327
2023,3,0.278228213943688
2023,4,0.27888055251794885
2023,5,0.23072040997837795
2023,6,0.20588381409076548
2023,7,0.18389803586564124
2023,8,
2023,9,
2023,10,0.20431768857285237
2023,11,0.22264606100959508
2023,12,
2024,1,0.2828899872831864
2024,2,0.3044852817246366
2024,3,0.2778638491230675
2024,4,0.26767353522827103
2024,5,0.2489885622852686
2024,6,0.20992024174319032
2024,7,0.1827524725925753
2024,8,0.1544030930290468
2024,9,
2024,10,0.16179395093915266
2024,11,0.2639230221464399
2024,12,
